RHCPI01;REGION HUETAR CARIBE PAREJAS IMPORTADAS
RHCSN01;REGION HUETAR CARIBE CASOS UNICOS SIN NEXO
RHCPSN01;REGION HUETAR CARIBE PAREJAS SIN NEXO
RHNT01;REGION HUETAR NORTE TRABAJO
RHNC01;REGION HUETAR NORTE CUARTERIAS
RHNP01;REGION HUETAR NORTE POBLADOS
RHNHA01;REGION HUETAR NORTE HOGAR DE ANCIANOS
RHNF01;REGION HUETAR NORTE BROTES FAMILIARES
RHNCA01;REGION HUETAR NORTE CASOS UNICOS IMPORTADOS
RHNUI01;REGION HUETAR NORTE CLUSTERS DE CANTONES
RHNPI01;REGION HUETAR NORTE PAREJAS IMPORTADAS
RHNSN01;REGION HUETAR NORTE CASOS UNICOS SIN NEXO
RHNPSN01;REGION HUETAR NORTE PAREJAS SIN NEXO
